second,count,habit,mean_volume_cm3_s,conc,dNdd,bin_mid,LWC,IWC,w,pres,alt,temp,pass_n
2022-07-30 16:51:06,1.0,CP,4364.148302987627,0.0002291397841167,2.291397841167349e-05,390.0,0.056551054,0.0,-2.1669998,483.80505,6152.013,263.8214,3
2022-07-30 16:51:09,1.0,CP,1416.6679286100143,0.0007058817241533,7.058817241533557e-05,500.0,0.040984005,0.0,-2.922,483.54245,6155.9946,264.38736,3
2022-07-30 16:55:32,1.0,Co,7372.279296899999,0.0001356432603442,1.3564326034425936e-05,320.0,0.06404992,0.0,1.1345001,503.40085,5844.963,267.5236,4
2022-07-30 16:55:34,0.8812392426850258,CP,6773.1841485,0.0001301070845505,1.3010708455050446e-05,430.0,0.14411697,0.020689972,-0.9095,503.61404,5844.3955,267.5567,4
2022-07-30 16:55:34,0.1187607573149741,HPC,6773.1841485,1.753396256637657e-05,1.753396256637657e-06,430.0,0.14411697,0.020689972,-0.9095,503.61404,5844.3955,267.5567,4
2022-07-30 16:55:34,1.0,CA,7734.8800746000015,0.0001292844866831,1.2928448668310006e-05,440.0,0.08802785,0.0011063196,0.57100004,503.55225,5844.281,267.5356,4
2022-07-30 16:55:38,1.0,WD,4369.279192300127,0.000228870702921,2.288707029210391e-05,500.0,0.92458975,0.0,-0.9625,503.45337,5846.3657,266.8827,4
2022-07-30 16:55:39,1.0,WD,1480.4002437728502,0.0006754929987389,6.754929987389533e-05,600.0,0.96644187,0.0,0.4375,503.34317,5847.659,266.5812,4
2022-07-30 16:55:47,1.0,WD,2585.2968739628604,0.0003868027730475,3.868027730475513e-05,340.0,1.0017759,0.0,-0.66150004,503.165,5851.4355,266.08276,4
2022-07-30 16:59:58,1.0,Co,7967.182545,0.0001255148848858,1.2551488488582132e-05,370.0,0.03037245,0.0,-0.062,502.40286,5865.446,266.9716,5
2022-07-30 17:00:01,1.0,CP,7801.0695,0.0001281875517196,1.2818755171967126e-05,340.0,1.1141539,0.0,1.6784999,502.84985,5862.7896,266.4124,5
2022-07-30 17:00:11,1.0,WD,2311.836140103316,0.0004325566084261,4.325566084261101e-05,410.0,0.8791658,0.0,2.3114998,502.5893,5850.822,265.97473,5
2022-07-30 17:00:12,1.0,CP,2120.630463162186,0.0004715578774195,4.715578774195511e-05,330.0,1.1847469,0.0,4.7645006,503.28857,5851.218,265.96463,5
2022-07-30 17:00:14,1.0,CP,1923.450630343428,0.0005198989691882,5.198989691882302e-05,300.0,0.97522867,0.0,3.2310002,503.47293,5850.613,265.6659,5
2022-07-30 17:00:15,1.0,CP,1829.750051184557,0.0005465227337212,5.4652273372126034e-05,380.0,0.9404957,0.0,3.4580007,503.05273,5850.649,265.7378,5
2022-07-30 17:00:16,1.0,CP,2695.4006128448336,0.0003710023642624,3.710023642624908e-05,430.0,0.866782,0.0,3.4580007,503.05273,5850.649,265.7378,5
2022-07-30 17:00:17,1.0,CP,2438.6642488476955,0.0004100605487092,4.10060548709202e-05,310.0,0.7866316,0.0,-2.359,503.19077,5851.046,265.88235,5
2022-07-30 17:00:18,1.0,CP,2371.8435628764723,0.0004216129662393,4.216129662393257e-05,310.0,0.7520564,0.0,-2.514,502.94357,5851.3857,265.81744,5
2022-07-30 17:00:18,1.0,CP,2218.821397529603,0.0004506897225316,4.506897225316929e-05,350.0,0.697187,0.0,-2.514,502.94357,5851.3857,265.81744,5
2022-07-30 17:00:18,1.0,CP,2225.2068946991108,0.0004493964145006,4.493964145006923e-05,360.0,0.7708426,0.0,-2.359,503.19077,5851.046,265.88235,5
2022-07-30 17:00:18,0.8812392426850258,CP,2167.8140090806464,0.0004065105396466,4.0651053964668896e-05,370.0,0.5869813,0.0,-2.514,502.94357,5851.3857,265.81744,5
2022-07-30 17:00:18,0.1187607573149741,HPC,2167.8140090806464,5.47836469445733e-05,5.47836469445733e-06,370.0,0.5869813,0.0,-2.514,502.94357,5851.3857,265.81744,5
2022-07-30 17:00:19,1.0,CP,3803.5980644592937,0.0002629089570067,2.6290895700678e-05,310.0,0.65720546,0.0,-2.514,502.94357,5851.3857,265.81744,5
2022-07-30 17:00:19,1.0,CP,3200.2681763843066,0.0003124738130945,3.124738130945669e-05,440.0,0.64516747,0.0,-1.1085001,502.98477,5852.7163,265.8215,5
2022-07-30 17:00:21,0.8812392426850258,CP,4175.454423226812,0.0002110522959568,2.1105229595680747e-05,350.0,0.21393436,0.0,-2.0645,502.9034,5855.578,266.0489,5
2022-07-30 17:00:21,0.1187607573149741,HPC,4175.454423226812,2.844259457230412e-05,2.8442594572304123e-06,350.0,0.21393436,0.0,-2.0645,502.9034,5855.578,266.0489,5
2022-07-30 17:00:27,1.0,Co,7003.160185640779,0.0001427926783754,1.4279267837545564e-05,300.0,0.37833056,0.0,2.641,503.31433,5851.0576,266.61975,5
2022-07-30 17:00:27,1.0,Co,6566.03603192835,0.000152298890097,1.5229889009706125e-05,320.0,0.3332938,0.008722784,2.8805,503.04453,5851.551,266.5025,5
2022-07-30 17:00:27,1.0,Co,5628.030884510014,0.0001776820384465,1.7768203844657147e-05,370.0,0.37527877,0.004713458,2.8805,503.04453,5851.551,266.5025,5
2022-07-30 17:00:28,1.0,Co,7459.254432,0.0001340616557748,1.3406165577487571e-05,360.0,0.30918962,0.0,2.2234998,503.3648,5850.41,266.6612,5
2022-07-30 17:00:28,1.0,Co,5488.6069476,0.0001821955934442,1.821955934442107e-05,520.0,0.2720886,0.000745039,2.641,503.31433,5851.0576,266.61975,5
2022-07-30 17:00:29,2.0,Co,5886.648772196853,0.0003397518821653,3.397518821653113e-05,330.0,0.305047865,0.0065704725499999,2.03424985,503.346785,5849.87125,266.76201000000003,5
2022-07-30 17:00:30,1.0,Co,8463.2283099,0.0001181582208801,1.1815822088011422e-05,340.0,0.20818132,0.0,1.8449999,503.32877,5849.3325,266.86282,5
2022-07-30 17:00:30,1.0,Co,7068.1906764,0.0001414789223696,1.4147892236961049e-05,390.0,0.25378197,0.003947101,1.8449999,503.32877,5849.3325,266.86282,5
2022-07-30 17:00:30,1.0,Co,7161.1931853,0.0001396415337674,1.3964153376740772e-05,400.0,0.22245914,0.003041084,1.8449999,503.32877,5849.3325,266.86282,5
2022-07-30 17:00:30,1.0,CP,6510.175623,0.0001536056871441,1.5360568714414848e-05,530.0,0.24544024,0.0,1.8449999,503.32877,5849.3325,266.86282,5
2022-07-30 17:00:31,1.0,Co,7602.407045100001,0.0001315372873443,1.315372873443461e-05,350.0,0.083237186,0.0,1.6044998,503.4132,5847.4316,266.9798,5
2022-07-30 17:00:31,1.0,Co,6999.027209999999,0.0001428769984736,1.4287699847362071e-05,410.0,0.057080075,0.0,1.6645,503.39465,5848.266,266.9382,5
2022-07-30 17:04:35,1.0,CC,2101.043517121559,0.0004759539685165,4.759539685165615e-05,370.0,1.7422345,0.0,11.943999,502.82925,5849.3926,266.37042,6
2022-07-30 17:04:46,1.0,CP,1181.95802344117,0.0008460537347075,8.460537347075875e-05,440.0,1.2019696,0.0,4.4545,501.28955,5883.0464,265.5959,6
2022-07-30 17:04:47,1.0,CP,1307.075015838187,0.0007650670297287,7.650670297287649e-05,340.0,1.3680959,0.0,4.7269998,501.79727,5880.641,265.49966,6
2022-07-30 17:04:50,1.0,CP,982.8063611761762,0.001017494431765,0.0001017494431765,640.0,1.1440682,0.0,2.303,502.09183,5872.887,265.05347,6
2022-07-30 17:04:51,0.8812392426850258,CP,1367.3730051613356,0.0006444761154115,6.444761154115726e-05,410.0,0.79932505,0.8395077,0.186,502.2051,5865.5205,265.05502,6
2022-07-30 17:04:51,0.1187607573149741,HPC,1367.3730051613356,8.685322649101269e-05,8.68532264910127e-06,410.0,0.79932505,0.8395077,0.186,502.2051,5865.5205,265.05502,6
2022-07-30 17:04:53,1.0,CP,895.8101103492769,0.0011163080081894,0.0001116308008189,790.0,0.98280656,0.034845956,2.7694998,502.58722,5863.197,265.0698,6
2022-07-30 17:04:56,1.0,WD,1456.87648026365,0.0006863999889812,6.86399988981242e-05,310.0,0.60190654,0.18345577,-1.3125,503.10526,5855.828,265.22992,6
2022-07-30 17:04:56,1.0,CP,1008.6067940286806,0.0009914666507506,9.91466650750683e-05,540.0,0.60190654,0.18345577,-1.3125,503.10526,5855.828,265.22992,6
2022-07-30 17:04:57,1.0,CP,2845.521528749098,0.0003514294268719,3.5142942687191826e-05,300.0,0.35720694,0.05652323,-1.4845002,503.0023,5854.376,265.36765,6
2022-07-30 17:04:57,0.8812392426850258,CP,2783.9771881569445,0.0003165396779951,3.165396779951441e-05,320.0,0.5836058,0.24664637,-1.3125,503.10526,5855.828,265.22992,6
2022-07-30 17:04:57,0.1187607573149741,HPC,2783.9771881569445,4.265866754231432e-05,4.265866754231433e-06,320.0,0.5836058,0.24664637,-1.3125,503.10526,5855.828,265.22992,6
2022-07-30 17:04:57,0.8812392426850258,CP,2752.7327832464093,0.0003201325054318,3.201325054318366e-05,330.0,0.24574451,0.060732193,-1.4845002,503.0023,5854.376,265.36765,6
2022-07-30 17:04:57,0.1187607573149741,HPC,2752.7327832464093,4.3142857177337344e-05,4.314285717733735e-06,330.0,0.24574451,0.060732193,-1.4845002,503.0023,5854.376,265.36765,6
2022-07-30 17:04:57,1.0,WD,2783.9771881569445,0.0003591983455374,3.5919834553745845e-05,340.0,0.62355304,0.12978242,-1.3125,503.10526,5855.828,265.22992,6
2022-07-30 17:04:57,1.0,CP,2722.111028420124,0.0003673619442996,3.673619442996733e-05,350.0,0.6561038,0.2304767,-1.3125,503.10526,5855.828,265.22992,6
2022-07-30 17:04:57,1.8812392426850255,CP,2644.6296622963973,0.0007113431681967,7.11343168196752e-05,360.0,0.332595245,0.12560449,-1.3985001,503.05378,5855.102000000001,265.298785,6
2022-07-30 17:04:57,0.1187607573149741,HPC,2660.2448686833027,4.464279161404988e-05,4.464279161404988e-06,360.0,0.63046896,0.12815093,-1.3125,503.10526,5855.828,265.22992,6
2022-07-30 17:04:57,0.8812392426850258,CP,2567.445629078072,0.0003432357954164,3.4323579541642124e-05,410.0,0.597473,0.07133703,-1.3125,503.10526,5855.828,265.22992,6
2022-07-30 17:04:57,0.1187607573149741,HPC,2567.445629078072,4.625638649166613e-05,4.625638649166612e-06,410.0,0.597473,0.07133703,-1.3125,503.10526,5855.828,265.22992,6
2022-07-30 17:04:58,1.0,CP,5767.286182868444,0.0001733917770493,1.733917770493982e-05,320.0,0.5460061,0.10527615,-1.4845002,503.0023,5854.376,265.36765,6
2022-07-30 17:04:58,1.0,CP,5704.598289576396,0.0001752971811927,1.752971811927982e-05,330.0,0.5279519,0.10009962,-1.4845002,503.0023,5854.376,265.36765,6
2022-07-30 17:04:58,0.8812392426850258,CP,5361.260223381556,0.0001643716600141,1.6437166001414382e-05,350.0,0.5104921,0.08180601,-0.65000004,503.17014,5853.866,265.53696,6
2022-07-30 17:04:58,0.1187607573149741,HPC,5361.260223381556,2.2151649494093597e-05,2.21516494940936e-06,350.0,0.5104921,0.08180601,-0.65000004,503.17014,5853.866,265.53696,6
2022-07-30 17:04:58,1.0,CP,5298.919988225957,0.0001887177013848,1.887177013848049e-05,370.0,0.59867704,0.12067431,-0.65000004,503.17014,5853.866,265.53696,6
2022-07-30 17:04:58,1.0,CP,4889.655676779767,0.0002045133780582,2.045133780582646e-05,420.0,0.0791594,0.0836235,-1.4845002,503.0023,5854.376,265.36765,6
2022-07-30 17:04:58,1.0,CP,5111.899282759158,0.000195622007533,1.9562200753302945e-05,430.0,0.46420527,0.06497201,-0.65000004,503.17014,5853.866,265.53696,6
2022-07-30 17:04:58,2.8812392426850257,CP,4764.27989019567,0.0006047586013185,6.047586013185914e-05,450.0,0.4091599133333334,0.0995773133333333,-1.4845002,503.00229999999993,5854.376,265.36765,6
2022-07-30 17:04:58,0.1187607573149741,HPC,4764.27989019567,2.4927325860802148e-05,2.492732586080215e-06,450.0,0.09470174,0.08058858,-1.4845002,503.0023,5854.376,265.36765,6
2022-07-30 17:04:58,1.0,CP,4239.135990580766,0.000235897126731,2.358971267310061e-05,550.0,0.5113162,0.0829903,-0.65000004,503.17014,5853.866,265.53696,6
2022-07-30 17:04:59,2.0,CP,5010.340426849127,0.0003991744731121,3.99174473112149e-05,300.0,0.33639615,0.144615405,-0.65000004,503.17014,5853.866,265.53696,6
2022-07-30 17:04:59,1.7624784853700517,CP,4901.9375725223545,0.0003595473135458,3.5954731354588545e-05,310.0,0.36560327,0.0967250035,-0.373,503.27213,5853.9985,265.59848,6
2022-07-30 17:04:59,0.2375215146299483,HPC,4901.9375725223545,4.845461842708221e-05,4.845461842708221e-06,310.0,0.36560327,0.0967250035,-0.373,503.27213,5853.9985,265.59848,6
2022-07-30 17:04:59,1.7624784853700517,CP,5010.89992689198,0.0003517289331426,3.517289331426007e-05,320.0,0.447469535,0.1705941625,-0.5115000199999999,503.221135,5853.93225,265.56772,6
2022-07-30 17:04:59,0.2375215146299483,HPC,5010.89992689198,4.740096950554578e-05,4.740096950554578e-06,320.0,0.447469535,0.1705941625,-0.5115000199999999,503.221135,5853.93225,265.56772,6
2022-07-30 17:04:59,2.0,CP,4901.384289146644,0.0004080479884894,4.080479884894335e-05,330.0,0.35509436,0.27186821,-0.5115000199999999,503.221135,5853.93225,265.56772,6
2022-07-30 17:04:59,1.0,CP,4819.782194211924,0.0002074782551794,2.0747825517943527e-05,350.0,0.35821465,0.17047437,-0.373,503.27213,5853.9985,265.59848,6
2022-07-30 17:04:59,1.0,CP,4710.241689798016,0.0002123033308812,2.1230333088128265e-05,370.0,0.39547095,0.16196762,-0.373,503.27213,5853.9985,265.59848,6
2022-07-30 17:04:59,1.0,CP,4655.471437591064,0.0002148010171269,2.148010171269447e-05,380.0,0.45971507,0.29517215,-0.373,503.27213,5853.9985,265.59848,6
2022-07-30 17:04:59,2.8812392426850257,CP,4564.187683912806,0.0006312709823131,6.312709823131079e-05,390.0,0.3389829,0.1228364266666666,-0.373,503.27213,5853.998499999999,265.59848,6
2022-07-30 17:04:59,0.1187607573149741,HPC,4600.7011853841095,2.5813621126332484e-05,2.5813621126332484e-06,390.0,0.3736139,0.13445444,-0.373,503.27213,5853.9985,265.59848,6
2022-07-30 17:04:59,1.0,CP,4436.390428763249,0.0002254084747628,2.2540847476284324e-05,420.0,0.3436904,0.5450712,-0.373,503.27213,5853.9985,265.59848,6
2022-07-30 17:04:59,1.0,CP,4216.35205319544,0.0002371718460374,2.371718460374132e-05,430.0,0.2914464,0.063363746,-0.65000004,503.17014,5853.866,265.53696,6
2022-07-30 17:04:59,1.0,CP,4107.768915521526,0.0002434411527438,2.4344115274387078e-05,460.0,0.36588705,0.14299396,-0.373,503.27213,5853.9985,265.59848,6
2022-07-30 17:04:59,1.0,CP,3231.444880210267,0.000309459092471,3.094590924710221e-05,570.0,0.36588705,0.14299396,-0.373,503.27213,5853.9985,265.59848,6
2022-07-30 17:05:00,2.8812392426850257,CP,6886.500725228099,0.0004183894488139,4.183894488139463e-05,300.0,0.1437827626666666,0.1633951533333333,-1.8443334666666669,503.1986633333333,5854.297033333333,265.5709133333333,6
2022-07-30 17:05:00,0.1187607573149741,HPC,6904.164319699916,1.7201322537487926e-05,1.7201322537487926e-06,300.0,0.11103651,0.14354563,-2.5800002,503.16193,5854.4463,265.55713,6
2022-07-30 17:05:00,1.0,WD,7073.330716619138,0.0001413761126212,1.4137611262123668e-05,300.0,0.29905903,0.21677244,-0.373,503.27213,5853.9985,265.59848,6
2022-07-30 17:05:00,1.8812392426850255,CP,6693.467607246901,0.0002810560016228,2.8105600162287197e-05,310.0,0.2405677299999999,0.127745195,-1.4765001,503.21703,5854.2224,265.577805,6
2022-07-30 17:05:00,0.1187607573149741,HPC,6755.687667663359,1.757937358226788e-05,1.757937358226788e-06,310.0,0.16214311,0.13886508,-2.5800002,503.16193,5854.4463,265.55713,6
2022-07-30 17:05:00,1.0,WD,6904.164319699916,0.0001448401216562,1.4484012165623896e-05,310.0,0.062271867,0.13999048,-2.5800002,503.16193,5854.4463,265.55713,6
2022-07-30 17:05:00,2.6437177280550777,CP,6936.364807720393,0.0003811387955132,3.811387955132544e-05,320.0,0.2312802066666666,0.1472913466666666,-1.8443334666666669,503.1986633333333,5854.297033333333,265.5709133333333,6
2022-07-30 17:05:00,0.3562822719449224,HPC,6936.364807720393,5.136440798909092e-05,5.136440798909091e-06,320.0,0.2312802066666666,0.1472913466666666,-1.8443334666666669,503.1986633333333,5854.297033333333,265.5709133333333,6
2022-07-30 17:05:00,1.8812392426850255,CP,6557.567018532326,0.0002868806734827,2.8688067348278095e-05,330.0,0.264192285,0.16322244,-0.373,503.27213,5853.9985,265.59848,6
2022-07-30 17:05:00,0.1187607573149741,HPC,6631.247546830442,1.790926314788815e-05,1.7909263147888151e-06,330.0,0.25659767,0.18196653,-0.373,503.27213,5853.9985,265.59848,6
2022-07-30 17:05:00,1.0,WD,6458.734363590245,0.0001548290955635,1.5482909556356575e-05,350.0,0.30312818,0.08651833,-2.5800002,503.16193,5854.4463,265.55713,6
2022-07-30 17:05:00,1.0,CP,6458.734363590245,0.0001548290955635,1.5482909556356575e-05,360.0,0.13894343,0.069328755,-2.5800002,503.16193,5854.4463,265.55713,6
2022-07-30 17:05:00,1.0,CP,6310.257711553686,0.0001584721331062,1.5847213310623792e-05,370.0,0.23804547,0.33479595,-2.5800002,503.16193,5854.4463,265.55713,6
2022-07-30 17:05:00,2.0,CP,6078.643584594571,0.0003290207711912,3.290207711912418e-05,390.0,0.312503055,0.124271825,-0.373,503.27213,5853.9985,265.59848,6
2022-07-30 17:05:00,1.0,CP,6041.803320445512,0.0001655134977029,1.6551349770291128e-05,400.0,0.2810552,0.14594568,-0.373,503.27213,5853.9985,265.59848,6
2022-07-30 17:05:00,1.0,CP,5939.066081462293,0.0001683766414253,1.6837664142537777e-05,410.0,0.030521538,0.16493355,-2.5800002,503.16193,5854.4463,265.55713,6
2022-07-30 17:05:00,1.0,CBC,6013.304407480572,0.0001662979174571,1.6629791745716324e-05,420.0,0.18242241,0.16387141,-2.5800002,503.16193,5854.4463,265.55713,6
2022-07-30 17:05:00,1.0,CP,6087.54273349885,0.0001642698940735,1.642698940735393e-05,420.0,0.030521538,0.16493355,-2.5800002,503.16193,5854.4463,265.55713,6
2022-07-30 17:05:00,4.0,CP,5872.231382545332,0.0006811720689156,6.811720689156821e-05,430.0,0.1917127725,0.38714920125,-2.0282501500000003,503.18948,5854.33435,265.5674675,6
2022-07-30 17:05:00,2.0,CP,5768.835318339393,0.0003466904305002,3.466904305002273e-05,440.0,0.16755278,0.133797595,-1.4765001,503.21703,5854.2224,265.577805,6
2022-07-30 17:05:00,2.8812392426850257,CP,5617.366668716419,0.0005129163561159,5.129163561159157e-05,450.0,0.0998273063333333,0.16449437,-2.5800002,503.16193,5854.4463,265.55713,6
2022-07-30 17:05:00,0.1187607573149741,HPC,5642.1127773891785,2.1048986789294434e-05,2.1048986789294438e-06,450.0,0.03314118,0.20932916,-2.5800002,503.16193,5854.4463,265.55713,6
